"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","3","50.2556","1","1","1","1","3","0.500","46.96","58.5","44.53","37.01","43.78","45.81","27.46","30.64","47.26","2.79","2.39","53.85","2.31","2.78","45.37","27.06","32.63","45.33","15.52","18.7","45.35","1.99","2.39","45.45","12.82","87.23","11.94","12.73","48.39","7.96","8.36","48.78","1.19","1.19","50.00","15.00","85.71","15.12","19.9","43.18","7.56","10.35","42.22","0.8","1.19","40.00","10.53","88.46","15.92","23.48","40.40","9.55","11.94","44.44","0.4","0","100.00","4.17","100.00","10.14","92.21","1.024"
"2","Arizona Coyotes","3","46.0056","2","1","0","2","4","0.667","52.17","66.08","44.12","44.78","51.73","46.40","31.74","35.65","47.10","2.61","6.09","30.00","3.22","2.98","52.00","30","31.74","48.59","20","19.56","50.55","2.17","4.78","31.25","10.87","75.56","15.65","14.78","51.43","11.3","10.87","50.98","0.87","3.48","20.00","7.69","68.00","14.35","16.95","45.83","8.69","8.69","50.00","1.3","1.3","50.00","15.00","85.00","20.43","28.69","41.59","10.43","14.35","42.11","0.43","1.3","25.00","4.17","90.91","8.22","82.93","0.911"
"3","Boston Bruins","3","50.0611","2","1","0","2","4","0.667","68.32","46.34","59.58","54.73","35.16","60.89","44.75","21.97","67.07","1.6","2","44.44","2.89","1.66","63.51","31.96","20.77","60.61","21.57","9.59","69.23","1.6","1.6","50.00","7.41","83.33","11.99","7.19","62.50","9.59","4.79","66.67","1.2","1.2","50.00","12.50","75.00","19.98","13.58","59.52","11.99","4.79","71.43","0.4","0.4","50.00","3.33","91.67","32.76","22.77","58.99","21.97","11.59","65.48","0","0.4","0.00","0.00","96.55","3.57","90.91","0.945"
"4","Buffalo Sabres","3","47.6833","2","1","0","2","4","0.667","58.3","50.75","53.46","46.56","41.1","53.11","35.65","30.62","53.80","2.1","3.36","38.46","3.14","3.08","50.50","30.2","30.62","49.66","20.13","20.97","48.98","2.1","2.94","41.67","10.42","86.00","11.32","12.16","48.21","8.81","9.23","48.84","0.42","1.68","20.00","4.76","81.82","18.87","18.46","50.56","11.32","11.74","49.09","1.68","1.26","57.14","14.81","89.29","23.91","18.46","56.44","13.84","8.81","61.11","0","0.42","0.00","0.00","95.24","5.88","89.04","0.949"
"5","Carolina Hurricanes","3","48.0278","3","0","0","3","6","1.000","61.21","42.06","59.27","49.55","31.23","61.34","32.06","23.32","57.89","2.5","1.67","60.00","2.57","1.59","61.77","28.32","20.4","58.12","16.66","13.33","55.56","1.67","0.83","66.67","10.00","93.75","13.74","8.33","62.26","10.83","6.25","63.41","1.67","0.83","66.67","15.38","86.67","14.57","12.08","54.69","5.83","7.08","45.16","0","0","-","0.00","100.00","28.32","18.32","60.71","13.33","9.58","58.18","0.83","0.83","50.00","6.25","91.30","7.79","92.86","1.006"
"6","Columbus Blue Jackets","3","51.0444","0","3","0","0","0","0.000","57.6","50.54","53.26","40.36","38.79","50.99","25.47","31.35","44.83","1.96","3.92","33.33","2.58","2.57","50.06","28.21","27.82","50.35","14.11","19.59","41.86","1.57","3.53","30.77","11.11","82.00","10.58","12.15","46.55","7.44","9.01","45.24","1.18","2.35","33.33","15.79","73.91","17.63","15.67","52.94","6.66","10.58","38.64","0.39","1.18","25.00","5.88","88.89","25.86","19.2","57.39","9.8","10.58","48.08","0.39","0.39","50.00","4.00","96.30","7.69","87.50","0.952"
"7","Calgary Flames","3","46.1056","1","0","2","1","4","0.667","52.49","50.75","50.84","36.44","38.61","48.55","27.33","25.59","51.64","1.74","1.74","50.00","1.44","1.74","45.33","19.09","24.29","44.00","13.01","12.15","51.72","1.3","1.74","42.86","10.00","85.71","6.07","7.37","45.16","4.77","4.77","50.00","0.87","0.87","50.00","18.18","81.82","13.01","16.92","43.48","8.24","7.37","52.78","0.43","0.87","33.33","5.26","88.24","27.76","22.99","54.70","12.15","11.28","51.85","0.43","0","100.00","3.57","100.00","6.35","93.22","0.996"
"8","Chicago Blackhawks","3","48.45","1","2","0","1","2","0.333","51.19","55.73","47.88","35.91","41.28","46.52","26.42","26.83","49.61","1.65","3.3","33.33","2.45","2.13","53.50","25.18","27.24","48.03","16.51","13.62","54.79","1.65","3.3","33.33","10.00","75.76","9.08","11.56","44.00","7.84","7.43","51.35","0.83","2.48","25.00","10.53","66.67","16.1","15.69","50.65","8.67","6.19","58.33","0.83","0.83","50.00","9.52","86.67","21.47","24.36","46.85","8.26","11.97","40.82","0","0","-","0.00","100.00","6.25","87.69","0.939"
"9","Colorado Avalanche","3","48.5778","0","3","0","0","0","0.000","64.23","61.34","51.15","44.05","49.41","47.14","28.41","35.82","44.23","2.06","4.94","29.41","2.31","3.12","42.63","29.23","30.47","48.97","12.35","20.59","37.50","2.06","4.53","31.25","16.67","78.00","9.88","15.23","39.34","6.18","11.12","35.71","0.41","3.71","10.00","6.67","66.67","19.35","15.23","55.95","6.18","9.47","39.47","1.65","0.82","66.67","26.67","91.30","29.23","24.7","54.20","13.59","11.53","54.10","0","0.41","0.00","0.00","96.43","7.25","86.21","0.935"
"10","Dallas Stars","3","49.8833","0","3","0","0","0","0.000","48.91","63.75","43.42","35.28","53.32","39.82","27.66","37.69","42.33","1.2","4.41","21.43","1.98","3.03","39.47","20.45","27.66","42.50","11.63","17.64","39.73","1.2","3.21","27.27","10.34","81.82","8.02","13.23","37.74","6.82","9.62","41.46","0.8","2.41","25.00","11.76","75.00","12.43","14.43","46.27","4.81","8.02","37.50","0.4","0.8","33.33","8.33","90.00","23.66","30.07","44.03","14.03","18.04","43.75","0","1.2","0.00","0.00","93.33","4.35","88.30","0.926"
"11","Detroit Red Wings","3","48.25","1","2","0","1","2","0.333","44.35","52.23","45.92","32.33","40.62","44.32","24.87","25.7","49.18","1.24","2.07","37.50","2.1","2.78","43.00","25.28","25.28","50.00","16.58","15.34","51.95","1.24","2.07","37.50","7.50","86.49","10.78","13.68","44.07","7.88","9.53","45.24","0.41","1.66","20.00","5.26","82.61","14.51","11.61","55.56","8.7","5.8","60.00","0.83","0.41","66.67","9.52","92.86","16.99","22.38","43.16","7.88","9.12","46.34","0","0","-","0.00","100.00","5.00","91.94","0.969"
