,Edge,Min Odds Away,Min Odds Home,Max Odds Away,Max Odds Home,Profit
0,4.0,-1000.0,-1000.0,1000.0,1000.0,-597.6
1,4.0,-1000.0,-1000.0,1000.0,600.0,-597.6
2,4.0,-1000.0,-1000.0,1000.0,500.0,-597.6
3,4.0,-1000.0,-1000.0,1000.0,400.0,-597.6
4,4.0,-1000.0,-1000.0,1000.0,300.0,-597.6
5,4.0,-1000.0,-1000.0,1000.0,200.0,-419.6
6,4.0,-1000.0,-1000.0,1000.0,150.0,-256.6
7,4.0,-1000.0,-1000.0,1000.0,125.0,-150.60000000000002
8,4.0,-1000.0,-1000.0,1000.0,0.0,-152.60000000000002
9,4.0,-1000.0,-1000.0,600.0,1000.0,-597.6
10,4.0,-1000.0,-1000.0,600.0,600.0,-597.6
11,4.0,-1000.0,-1000.0,600.0,500.0,-597.6
12,4.0,-1000.0,-1000.0,600.0,400.0,-597.6
13,4.0,-1000.0,-1000.0,600.0,300.0,-597.6
14,4.0,-1000.0,-1000.0,600.0,200.0,-419.6
15,4.0,-1000.0,-1000.0,600.0,150.0,-256.6
16,4.0,-1000.0,-1000.0,600.0,125.0,-150.60000000000002
17,4.0,-1000.0,-1000.0,600.0,0.0,-152.60000000000002
18,4.0,-1000.0,-1000.0,500.0,1000.0,-597.6
19,4.0,-1000.0,-1000.0,500.0,600.0,-597.6
20,4.0,-1000.0,-1000.0,500.0,500.0,-597.6
21,4.0,-1000.0,-1000.0,500.0,400.0,-597.6
22,4.0,-1000.0,-1000.0,500.0,300.0,-597.6
23,4.0,-1000.0,-1000.0,500.0,200.0,-419.6
24,4.0,-1000.0,-1000.0,500.0,150.0,-256.6
25,4.0,-1000.0,-1000.0,500.0,125.0,-150.60000000000002
26,4.0,-1000.0,-1000.0,500.0,0.0,-152.60000000000002
27,4.0,-1000.0,-1000.0,400.0,1000.0,-597.6
28,4.0,-1000.0,-1000.0,400.0,600.0,-597.6
29,4.0,-1000.0,-1000.0,400.0,500.0,-597.6
30,4.0,-1000.0,-1000.0,400.0,400.0,-597.6
31,4.0,-1000.0,-1000.0,400.0,300.0,-597.6
32,4.0,-1000.0,-1000.0,400.0,200.0,-419.6
33,4.0,-1000.0,-1000.0,400.0,150.0,-256.6
34,4.0,-1000.0,-1000.0,400.0,125.0,-150.60000000000002
35,4.0,-1000.0,-1000.0,400.0,0.0,-152.60000000000002
36,4.0,-1000.0,-1000.0,300.0,1000.0,-408.6
37,4.0,-1000.0,-1000.0,300.0,600.0,-408.6
38,4.0,-1000.0,-1000.0,300.0,500.0,-408.6
39,4.0,-1000.0,-1000.0,300.0,400.0,-408.6
40,4.0,-1000.0,-1000.0,300.0,300.0,-408.6
41,4.0,-1000.0,-1000.0,300.0,200.0,-230.60000000000002
42,4.0,-1000.0,-1000.0,300.0,150.0,-67.60000000000002
43,4.0,-1000.0,-1000.0,300.0,125.0,38.40000000000009
44,4.0,-1000.0,-1000.0,300.0,0.0,36.40000000000009
45,4.0,-1000.0,-1000.0,200.0,1000.0,-521.6
46,4.0,-1000.0,-1000.0,200.0,600.0,-521.6
47,4.0,-1000.0,-1000.0,200.0,500.0,-521.6
48,4.0,-1000.0,-1000.0,200.0,400.0,-521.6
49,4.0,-1000.0,-1000.0,200.0,300.0,-521.6
50,4.0,-1000.0,-1000.0,200.0,200.0,-343.6
51,4.0,-1000.0,-1000.0,200.0,150.0,-180.60000000000002
52,4.0,-1000.0,-1000.0,200.0,125.0,-74.60000000000002
53,4.0,-1000.0,-1000.0,200.0,0.0,-76.60000000000002
54,4.0,-1000.0,-1000.0,150.0,1000.0,-280.6
55,4.0,-1000.0,-1000.0,150.0,600.0,-280.6
56,4.0,-1000.0,-1000.0,150.0,500.0,-280.6
57,4.0,-1000.0,-1000.0,150.0,400.0,-280.6
58,4.0,-1000.0,-1000.0,150.0,300.0,-280.6
59,4.0,-1000.0,-1000.0,150.0,200.0,-102.60000000000002
60,4.0,-1000.0,-1000.0,150.0,150.0,60.40000000000009
61,4.0,-1000.0,-1000.0,150.0,125.0,166.4000000000001
62,4.0,-1000.0,-1000.0,150.0,0.0,164.4000000000001
63,4.0,-1000.0,-1000.0,125.0,1000.0,-417.6
64,4.0,-1000.0,-1000.0,125.0,600.0,-417.6
65,4.0,-1000.0,-1000.0,125.0,500.0,-417.6
66,4.0,-1000.0,-1000.0,125.0,400.0,-417.6
67,4.0,-1000.0,-1000.0,125.0,300.0,-417.6
68,4.0,-1000.0,-1000.0,125.0,200.0,-239.60000000000002
69,4.0,-1000.0,-1000.0,125.0,150.0,-76.60000000000002
70,4.0,-1000.0,-1000.0,125.0,125.0,29.40000000000009
71,4.0,-1000.0,-1000.0,125.0,0.0,27.40000000000009
72,4.0,-1000.0,-1000.0,0.0,1000.0,-431.6
73,4.0,-1000.0,-1000.0,0.0,600.0,-431.6
74,4.0,-1000.0,-1000.0,0.0,500.0,-431.6
75,4.0,-1000.0,-1000.0,0.0,400.0,-431.6
76,4.0,-1000.0,-1000.0,0.0,300.0,-431.6
77,4.0,-1000.0,-1000.0,0.0,200.0,-253.60000000000002
78,4.0,-1000.0,-1000.0,0.0,150.0,-90.60000000000002
79,4.0,-1000.0,-1000.0,0.0,125.0,15.399999999999977
80,4.0,-1000.0,-1000.0,0.0,0.0,13.399999999999977
81,4.0,-1000.0,-600.0,1000.0,1000.0,-597.6
82,4.0,-1000.0,-600.0,1000.0,600.0,-597.6
83,4.0,-1000.0,-600.0,1000.0,500.0,-597.6
84,4.0,-1000.0,-600.0,1000.0,400.0,-597.6
85,4.0,-1000.0,-600.0,1000.0,300.0,-597.6
86,4.0,-1000.0,-600.0,1000.0,200.0,-419.6
87,4.0,-1000.0,-600.0,1000.0,150.0,-256.6
88,4.0,-1000.0,-600.0,1000.0,125.0,-150.60000000000002
89,4.0,-1000.0,-600.0,1000.0,0.0,-152.60000000000002
90,4.0,-1000.0,-600.0,600.0,1000.0,-597.6
91,4.0,-1000.0,-600.0,600.0,600.0,-597.6
92,4.0,-1000.0,-600.0,600.0,500.0,-597.6
93,4.0,-1000.0,-600.0,600.0,400.0,-597.6
94,4.0,-1000.0,-600.0,600.0,300.0,-597.6
95,4.0,-1000.0,-600.0,600.0,200.0,-419.6
96,4.0,-1000.0,-600.0,600.0,150.0,-256.6
97,4.0,-1000.0,-600.0,600.0,125.0,-150.60000000000002
98,4.0,-1000.0,-600.0,600.0,0.0,-152.60000000000002
99,4.0,-1000.0,-600.0,500.0,1000.0,-597.6
100,4.0,-1000.0,-600.0,500.0,600.0,-597.6
101,4.0,-1000.0,-600.0,500.0,500.0,-597.6
102,4.0,-1000.0,-600.0,500.0,400.0,-597.6
103,4.0,-1000.0,-600.0,500.0,300.0,-597.6
104,4.0,-1000.0,-600.0,500.0,200.0,-419.6
105,4.0,-1000.0,-600.0,500.0,150.0,-256.6
106,4.0,-1000.0,-600.0,500.0,125.0,-150.60000000000002
107,4.0,-1000.0,-600.0,500.0,0.0,-152.60000000000002
108,4.0,-1000.0,-600.0,400.0,1000.0,-597.6
109,4.0,-1000.0,-600.0,400.0,600.0,-597.6
110,4.0,-1000.0,-600.0,400.0,500.0,-597.6
111,4.0,-1000.0,-600.0,400.0,400.0,-597.6
112,4.0,-1000.0,-600.0,400.0,300.0,-597.6
113,4.0,-1000.0,-600.0,400.0,200.0,-419.6
114,4.0,-1000.0,-600.0,400.0,150.0,-256.6
115,4.0,-1000.0,-600.0,400.0,125.0,-150.60000000000002
116,4.0,-1000.0,-600.0,400.0,0.0,-152.60000000000002
117,4.0,-1000.0,-600.0,300.0,1000.0,-408.6
118,4.0,-1000.0,-600.0,300.0,600.0,-408.6
119,4.0,-1000.0,-600.0,300.0,500.0,-408.6
120,4.0,-1000.0,-600.0,300.0,400.0,-408.6
121,4.0,-1000.0,-600.0,300.0,300.0,-408.6
122,4.0,-1000.0,-600.0,300.0,200.0,-230.60000000000002
123,4.0,-1000.0,-600.0,300.0,150.0,-67.60000000000002
124,4.0,-1000.0,-600.0,300.0,125.0,38.40000000000009
125,4.0,-1000.0,-600.0,300.0,0.0,36.40000000000009
126,4.0,-1000.0,-600.0,200.0,1000.0,-521.6
127,4.0,-1000.0,-600.0,200.0,600.0,-521.6
128,4.0,-1000.0,-600.0,200.0,500.0,-521.6
129,4.0,-1000.0,-600.0,200.0,400.0,-521.6
130,4.0,-1000.0,-600.0,200.0,300.0,-521.6
131,4.0,-1000.0,-600.0,200.0,200.0,-343.6
132,4.0,-1000.0,-600.0,200.0,150.0,-180.60000000000002
133,4.0,-1000.0,-600.0,200.0,125.0,-74.60000000000002
134,4.0,-1000.0,-600.0,200.0,0.0,-76.60000000000002
135,4.0,-1000.0,-600.0,150.0,1000.0,-280.6
136,4.0,-1000.0,-600.0,150.0,600.0,-280.6
137,4.0,-1000.0,-600.0,150.0,500.0,-280.6
138,4.0,-1000.0,-600.0,150.0,400.0,-280.6
139,4.0,-1000.0,-600.0,150.0,300.0,-280.6
140,4.0,-1000.0,-600.0,150.0,200.0,-102.60000000000002
141,4.0,-1000.0,-600.0,150.0,150.0,60.40000000000009
142,4.0,-1000.0,-600.0,150.0,125.0,166.4000000000001
143,4.0,-1000.0,-600.0,150.0,0.0,164.4000000000001
144,4.0,-1000.0,-600.0,125.0,1000.0,-417.6
145,4.0,-1000.0,-600.0,125.0,600.0,-417.6
146,4.0,-1000.0,-600.0,125.0,500.0,-417.6
147,4.0,-1000.0,-600.0,125.0,400.0,-417.6
148,4.0,-1000.0,-600.0,125.0,300.0,-417.6
149,4.0,-1000.0,-600.0,125.0,200.0,-239.60000000000002
150,4.0,-1000.0,-600.0,125.0,150.0,-76.60000000000002
151,4.0,-1000.0,-600.0,125.0,125.0,29.40000000000009
152,4.0,-1000.0,-600.0,125.0,0.0,27.40000000000009
153,4.0,-1000.0,-600.0,0.0,1000.0,-431.6
154,4.0,-1000.0,-600.0,0.0,600.0,-431.6
155,4.0,-1000.0,-600.0,0.0,500.0,-431.6
156,4.0,-1000.0,-600.0,0.0,400.0,-431.6
157,4.0,-1000.0,-600.0,0.0,300.0,-431.6
158,4.0,-1000.0,-600.0,0.0,200.0,-253.60000000000002
159,4.0,-1000.0,-600.0,0.0,150.0,-90.60000000000002
160,4.0,-1000.0,-600.0,0.0,125.0,15.399999999999977
161,4.0,-1000.0,-600.0,0.0,0.0,13.399999999999977
162,4.0,-1000.0,-500.0,1000.0,1000.0,-597.6
163,4.0,-1000.0,-500.0,1000.0,600.0,-597.6
164,4.0,-1000.0,-500.0,1000.0,500.0,-597.6
165,4.0,-1000.0,-500.0,1000.0,400.0,-597.6
166,4.0,-1000.0,-500.0,1000.0,300.0,-597.6
167,4.0,-1000.0,-500.0,1000.0,200.0,-419.6
168,4.0,-1000.0,-500.0,1000.0,150.0,-256.6
169,4.0,-1000.0,-500.0,1000.0,125.0,-150.60000000000002
170,4.0,-1000.0,-500.0,1000.0,0.0,-152.60000000000002
171,4.0,-1000.0,-500.0,600.0,1000.0,-597.6
172,4.0,-1000.0,-500.0,600.0,600.0,-597.6
173,4.0,-1000.0,-500.0,600.0,500.0,-597.6
174,4.0,-1000.0,-500.0,600.0,400.0,-597.6
175,4.0,-1000.0,-500.0,600.0,300.0,-597.6
176,4.0,-1000.0,-500.0,600.0,200.0,-419.6
177,4.0,-1000.0,-500.0,600.0,150.0,-256.6
178,4.0,-1000.0,-500.0,600.0,125.0,-150.60000000000002
179,4.0,-1000.0,-500.0,600.0,0.0,-152.60000000000002
180,4.0,-1000.0,-500.0,500.0,1000.0,-597.6
181,4.0,-1000.0,-500.0,500.0,600.0,-597.6
182,4.0,-1000.0,-500.0,500.0,500.0,-597.6
183,4.0,-1000.0,-500.0,500.0,400.0,-597.6
184,4.0,-1000.0,-500.0,500.0,300.0,-597.6
185,4.0,-1000.0,-500.0,500.0,200.0,-419.6
186,4.0,-1000.0,-500.0,500.0,150.0,-256.6
187,4.0,-1000.0,-500.0,500.0,125.0,-150.60000000000002
188,4.0,-1000.0,-500.0,500.0,0.0,-152.60000000000002
189,4.0,-1000.0,-500.0,400.0,1000.0,-597.6
190,4.0,-1000.0,-500.0,400.0,600.0,-597.6
191,4.0,-1000.0,-500.0,400.0,500.0,-597.6
192,4.0,-1000.0,-500.0,400.0,400.0,-597.6
193,4.0,-1000.0,-500.0,400.0,300.0,-597.6
194,4.0,-1000.0,-500.0,400.0,200.0,-419.6
195,4.0,-1000.0,-500.0,400.0,150.0,-256.6
196,4.0,-1000.0,-500.0,400.0,125.0,-150.60000000000002
197,4.0,-1000.0,-500.0,400.0,0.0,-152.60000000000002
198,4.0,-1000.0,-500.0,300.0,1000.0,-408.6
199,4.0,-1000.0,-500.0,300.0,600.0,-408.6
200,4.0,-1000.0,-500.0,300.0,500.0,-408.6
201,4.0,-1000.0,-500.0,300.0,400.0,-408.6
202,4.0,-1000.0,-500.0,300.0,300.0,-408.6
203,4.0,-1000.0,-500.0,300.0,200.0,-230.60000000000002
204,4.0,-1000.0,-500.0,300.0,150.0,-67.60000000000002
205,4.0,-1000.0,-500.0,300.0,125.0,38.40000000000009
206,4.0,-1000.0,-500.0,300.0,0.0,36.40000000000009
207,4.0,-1000.0,-500.0,200.0,1000.0,-521.6
208,4.0,-1000.0,-500.0,200.0,600.0,-521.6
209,4.0,-1000.0,-500.0,200.0,500.0,-521.6
210,4.0,-1000.0,-500.0,200.0,400.0,-521.6
211,4.0,-1000.0,-500.0,200.0,300.0,-521.6
212,4.0,-1000.0,-500.0,200.0,200.0,-343.6
213,4.0,-1000.0,-500.0,200.0,150.0,-180.60000000000002
214,4.0,-1000.0,-500.0,200.0,125.0,-74.60000000000002
215,4.0,-1000.0,-500.0,200.0,0.0,-76.60000000000002
216,4.0,-1000.0,-500.0,150.0,1000.0,-280.6
217,4.0,-1000.0,-500.0,150.0,600.0,-280.6
218,4.0,-1000.0,-500.0,150.0,500.0,-280.6
219,4.0,-1000.0,-500.0,150.0,400.0,-280.6
220,4.0,-1000.0,-500.0,150.0,300.0,-280.6
221,4.0,-1000.0,-500.0,150.0,200.0,-102.60000000000002
222,4.0,-1000.0,-500.0,150.0,150.0,60.40000000000009
223,4.0,-1000.0,-500.0,150.0,125.0,166.4000000000001
224,4.0,-1000.0,-500.0,150.0,0.0,164.4000000000001
225,4.0,-1000.0,-500.0,125.0,1000.0,-417.6
226,4.0,-1000.0,-500.0,125.0,600.0,-417.6
227,4.0,-1000.0,-500.0,125.0,500.0,-417.6
228,4.0,-1000.0,-500.0,125.0,400.0,-417.6
229,4.0,-1000.0,-500.0,125.0,300.0,-417.6
230,4.0,-1000.0,-500.0,125.0,200.0,-239.60000000000002
231,4.0,-1000.0,-500.0,125.0,150.0,-76.60000000000002
232,4.0,-1000.0,-500.0,125.0,125.0,29.40000000000009
233,4.0,-1000.0,-500.0,125.0,0.0,27.40000000000009
234,4.0,-1000.0,-500.0,0.0,1000.0,-431.6
235,4.0,-1000.0,-500.0,0.0,600.0,-431.6
236,4.0,-1000.0,-500.0,0.0,500.0,-431.6
237,4.0,-1000.0,-500.0,0.0,400.0,-431.6
238,4.0,-1000.0,-500.0,0.0,300.0,-431.6
239,4.0,-1000.0,-500.0,0.0,200.0,-253.60000000000002
240,4.0,-1000.0,-500.0,0.0,150.0,-90.60000000000002
241,4.0,-1000.0,-500.0,0.0,125.0,15.399999999999977
242,4.0,-1000.0,-500.0,0.0,0.0,13.399999999999977
243,4.0,-1000.0,-400.0,1000.0,1000.0,-597.6
244,4.0,-1000.0,-400.0,1000.0,600.0,-597.6
245,4.0,-1000.0,-400.0,1000.0,500.0,-597.6
246,4.0,-1000.0,-400.0,1000.0,400.0,-597.6
247,4.0,-1000.0,-400.0,1000.0,300.0,-597.6
248,4.0,-1000.0,-400.0,1000.0,200.0,-419.6
249,4.0,-1000.0,-400.0,1000.0,150.0,-256.6
250,4.0,-1000.0,-400.0,1000.0,125.0,-150.60000000000002
251,4.0,-1000.0,-400.0,1000.0,0.0,-152.60000000000002
252,4.0,-1000.0,-400.0,600.0,1000.0,-597.6
253,4.0,-1000.0,-400.0,600.0,600.0,-597.6
254,4.0,-1000.0,-400.0,600.0,500.0,-597.6
255,4.0,-1000.0,-400.0,600.0,400.0,-597.6
256,4.0,-1000.0,-400.0,600.0,300.0,-597.6
257,4.0,-1000.0,-400.0,600.0,200.0,-419.6
258,4.0,-1000.0,-400.0,600.0,150.0,-256.6
259,4.0,-1000.0,-400.0,600.0,125.0,-150.60000000000002
260,4.0,-1000.0,-400.0,600.0,0.0,-152.60000000000002
261,4.0,-1000.0,-400.0,500.0,1000.0,-597.6
262,4.0,-1000.0,-400.0,500.0,600.0,-597.6
263,4.0,-1000.0,-400.0,500.0,500.0,-597.6
264,4.0,-1000.0,-400.0,500.0,400.0,-597.6
265,4.0,-1000.0,-400.0,500.0,300.0,-597.6
266,4.0,-1000.0,-400.0,500.0,200.0,-419.6
267,4.0,-1000.0,-400.0,500.0,150.0,-256.6
268,4.0,-1000.0,-400.0,500.0,125.0,-150.60000000000002
269,4.0,-1000.0,-400.0,500.0,0.0,-152.60000000000002
270,4.0,-1000.0,-400.0,400.0,1000.0,-597.6
271,4.0,-1000.0,-400.0,400.0,600.0,-597.6
272,4.0,-1000.0,-400.0,400.0,500.0,-597.6
273,4.0,-1000.0,-400.0,400.0,400.0,-597.6
274,4.0,-1000.0,-400.0,400.0,300.0,-597.6
275,4.0,-1000.0,-400.0,400.0,200.0,-419.6
276,4.0,-1000.0,-400.0,400.0,150.0,-256.6
277,4.0,-1000.0,-400.0,400.0,125.0,-150.60000000000002
278,4.0,-1000.0,-400.0,400.0,0.0,-152.60000000000002
279,4.0,-1000.0,-400.0,300.0,1000.0,-408.6
280,4.0,-1000.0,-400.0,300.0,600.0,-408.6
281,4.0,-1000.0,-400.0,300.0,500.0,-408.6
282,4.0,-1000.0,-400.0,300.0,400.0,-408.6
283,4.0,-1000.0,-400.0,300.0,300.0,-408.6
284,4.0,-1000.0,-400.0,300.0,200.0,-230.60000000000002
285,4.0,-1000.0,-400.0,300.0,150.0,-67.60000000000002
286,4.0,-1000.0,-400.0,300.0,125.0,38.40000000000009
287,4.0,-1000.0,-400.0,300.0,0.0,36.40000000000009
288,4.0,-1000.0,-400.0,200.0,1000.0,-521.6
289,4.0,-1000.0,-400.0,200.0,600.0,-521.6
290,4.0,-1000.0,-400.0,200.0,500.0,-521.6
291,4.0,-1000.0,-400.0,200.0,400.0,-521.6
292,4.0,-1000.0,-400.0,200.0,300.0,-521.6
293,4.0,-1000.0,-400.0,200.0,200.0,-343.6
294,4.0,-1000.0,-400.0,200.0,150.0,-180.60000000000002
295,4.0,-1000.0,-400.0,200.0,125.0,-74.60000000000002
296,4.0,-1000.0,-400.0,200.0,0.0,-76.60000000000002
297,4.0,-1000.0,-400.0,150.0,1000.0,-280.6
298,4.0,-1000.0,-400.0,150.0,600.0,-280.6
299,4.0,-1000.0,-400.0,150.0,500.0,-280.6
300,4.0,-1000.0,-400.0,150.0,400.0,-280.6
301,4.0,-1000.0,-400.0,150.0,300.0,-280.6
302,4.0,-1000.0,-400.0,150.0,200.0,-102.60000000000002
303,4.0,-1000.0,-400.0,150.0,150.0,60.40000000000009
304,4.0,-1000.0,-400.0,150.0,125.0,166.4000000000001
305,4.0,-1000.0,-400.0,150.0,0.0,164.4000000000001
306,4.0,-1000.0,-400.0,125.0,1000.0,-417.6
307,4.0,-1000.0,-400.0,125.0,600.0,-417.6
308,4.0,-1000.0,-400.0,125.0,500.0,-417.6
309,4.0,-1000.0,-400.0,125.0,400.0,-417.6
310,4.0,-1000.0,-400.0,125.0,300.0,-417.6
311,4.0,-1000.0,-400.0,125.0,200.0,-239.60000000000002
312,4.0,-1000.0,-400.0,125.0,150.0,-76.60000000000002
313,4.0,-1000.0,-400.0,125.0,125.0,29.40000000000009
314,4.0,-1000.0,-400.0,125.0,0.0,27.40000000000009
315,4.0,-1000.0,-400.0,0.0,1000.0,-431.6
316,4.0,-1000.0,-400.0,0.0,600.0,-431.6
317,4.0,-1000.0,-400.0,0.0,500.0,-431.6
318,4.0,-1000.0,-400.0,0.0,400.0,-431.6
319,4.0,-1000.0,-400.0,0.0,300.0,-431.6
320,4.0,-1000.0,-400.0,0.0,200.0,-253.60000000000002
321,4.0,-1000.0,-400.0,0.0,150.0,-90.60000000000002
322,4.0,-1000.0,-400.0,0.0,125.0,15.399999999999977
323,4.0,-1000.0,-400.0,0.0,0.0,13.399999999999977
324,4.0,-1000.0,-300.0,1000.0,1000.0,-597.6
325,4.0,-1000.0,-300.0,1000.0,600.0,-597.6
326,4.0,-1000.0,-300.0,1000.0,500.0,-597.6
327,4.0,-1000.0,-300.0,1000.0,400.0,-597.6
328,4.0,-1000.0,-300.0,1000.0,300.0,-597.6
329,4.0,-1000.0,-300.0,1000.0,200.0,-419.6
330,4.0,-1000.0,-300.0,1000.0,150.0,-256.6
331,4.0,-1000.0,-300.0,1000.0,125.0,-150.60000000000002
332,4.0,-1000.0,-300.0,1000.0,0.0,-152.60000000000002
333,4.0,-1000.0,-300.0,600.0,1000.0,-597.6
334,4.0,-1000.0,-300.0,600.0,600.0,-597.6
335,4.0,-1000.0,-300.0,600.0,500.0,-597.6
336,4.0,-1000.0,-300.0,600.0,400.0,-597.6
337,4.0,-1000.0,-300.0,600.0,300.0,-597.6
338,4.0,-1000.0,-300.0,600.0,200.0,-419.6
339,4.0,-1000.0,-300.0,600.0,150.0,-256.6
340,4.0,-1000.0,-300.0,600.0,125.0,-150.60000000000002
341,4.0,-1000.0,-300.0,600.0,0.0,-152.60000000000002
342,4.0,-1000.0,-300.0,500.0,1000.0,-597.6
343,4.0,-1000.0,-300.0,500.0,600.0,-597.6
344,4.0,-1000.0,-300.0,500.0,500.0,-597.6
345,4.0,-1000.0,-300.0,500.0,400.0,-597.6
346,4.0,-1000.0,-300.0,500.0,300.0,-597.6
347,4.0,-1000.0,-300.0,500.0,200.0,-419.6
348,4.0,-1000.0,-300.0,500.0,150.0,-256.6
349,4.0,-1000.0,-300.0,500.0,125.0,-150.60000000000002
350,4.0,-1000.0,-300.0,500.0,0.0,-152.60000000000002
351,4.0,-1000.0,-300.0,400.0,1000.0,-597.6
352,4.0,-1000.0,-300.0,400.0,600.0,-597.6
353,4.0,-1000.0,-300.0,400.0,500.0,-597.6
354,4.0,-1000.0,-300.0,400.0,400.0,-597.6
355,4.0,-1000.0,-300.0,400.0,300.0,-597.6
356,4.0,-1000.0,-300.0,400.0,200.0,-419.6
