"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","40","48.7483","16","19","5","14","37","0.463","55.97","57.02","49.54","42.22","43.91","49.02","29.26","30.34","49.10","2.18","2.71","44.65","2.55","2.69","48.65","28.06","27.91","50.14","16.25","16.65","49.39","1.82","2.12","46.09","11.17","87.25","12.25","11.57","51.42","9.17","8.71","51.29","1.29","1.32","49.41","14.09","84.81","15.82","16.34","49.19","7.08","7.94","47.13","0.52","0.8","39.53","7.39","89.92","23.51","25.11","48.35","11.2","12.09","48.08","0.37","0.58","38.71","3.30","95.17","7.47","91.08","0.985"
"2","Arizona Coyotes","40","48.8596","11","26","3","11","25","0.313","49.64","62.23","44.37","37.15","48.17","43.54","25.82","35.27","42.26","2.46","3.22","43.24","2.13","3","41.50","23.24","30.49","43.26","13.75","18.82","42.22","2.06","2.79","42.41","14.96","85.15","9.73","13.2","42.44","6.75","9.82","40.74","1.35","1.84","42.31","20.00","81.25","13.51","17.28","43.87","7","9","43.76","0.71","0.95","42.59","10.09","89.42","22.87","27.69","45.23","10.93","14.98","42.18","0.4","0.4","50.00","3.65","97.34","9.51","90.86","1.004"
"3","Boston Bruins","40","47.365","25","13","2","24","52","0.650","59.79","44.46","57.35","47.85","35.06","57.72","36.58","25.65","58.78","2.76","2.47","52.73","2.66","1.76","60.08","29.9","21.06","58.67","19.13","12.54","60.40","2.41","2","54.68","12.58","84.09","11.27","7.54","59.93","8.87","5.95","59.83","1.77","1.27","58.33","20.00","78.72","18.62","13.52","57.93","10.26","6.59","60.90","0.63","0.73","46.51","6.17","88.94","27.65","21.34","56.43","15.74","11.59","57.59","0.35","0.48","42.31","2.21","95.90","7.53","90.37","0.979"
"4","Buffalo Sabres","40","50.1604","16","18","6","14","38","0.475","50.63","52.27","49.20","39.2","41.63","48.50","28.74","31.31","47.86","2.45","2.9","45.81","2.15","2.29","48.46","24.43","24.16","50.28","14.41","15.28","48.54","2.21","2.48","47.13","15.35","83.76","10.59","11.24","48.49","7.48","8.34","47.26","1.32","1.56","45.83","17.60","81.36","13.85","12.92","51.73","6.94","6.94","50.00","0.9","0.93","49.18","12.93","86.64","23.68","24.97","48.68","13.34","14.74","47.50","0.24","0.42","36.36","1.79","97.16","8.53","90.74","0.993"
"5","Carolina Hurricanes","40","47.1646","28","8","4","28","60","0.750","65.23","49.96","56.63","51.49","39.53","56.57","34.82","27.96","55.47","2.77","2.04","57.62","3.37","2.71","55.47","32.06","25","56.19","17.71","15.52","53.30","2.35","1.72","57.81","13.29","88.93","15.04","11.48","56.71","9.13","8.27","52.47","1.65","1.43","53.61","18.12","82.69","17.01","13.52","55.73","8.59","7.25","54.22","0.7","0.29","70.97","8.15","96.05","28.65","20.32","58.51","16.06","10.91","59.55","0.41","0.32","56.52","2.57","97.08","7.95","92.72","1.007"
"6","Columbus Blue Jackets","40","48.5871","20","15","5","18","45","0.563","52.27","58.29","47.28","39.98","45.2","46.94","29.24","33.53","46.58","2.75","3.15","46.60","2.23","2.59","46.20","24.36","27.91","46.60","15.19","17.81","46.02","2.35","2.53","48.10","15.45","85.79","8.74","10.74","44.85","6.85","8.12","45.77","1.33","1.61","45.26","19.37","80.23","15.62","17.17","47.65","8.34","9.69","46.23","1.02","0.93","52.38","12.22","90.45","24.05","27.29","46.84","12.32","14.29","46.29","0.4","0.62","39.39","3.26","95.68","9.40","90.61","1.000"
"7","Calgary Flames","40","48.6796","25","9","6","24","56","0.700","63.26","44.99","58.44","49.27","35.99","57.79","34.23","25.88","56.95","3.14","2.16","59.30","2.93","2.15","57.65","32.02","22.46","58.77","19.6","14.42","57.61","2.62","1.94","57.43","13.36","86.54","12.6","9.06","58.18","9.31","7.06","56.87","1.51","1.26","54.44","16.23","82.10","19.41","13.4","59.15","10.29","7.36","58.29","1.11","0.68","62.07","10.78","90.79","27.89","19.66","58.65","13.5","10.01","57.40","0.52","0.22","70.83","3.88","97.85","9.18","91.67","1.008"
"8","Chicago Blackhawks","40","48.5396","14","20","6","11","34","0.425","52.26","59.83","46.62","37.18","42.8","46.48","28.31","33","46.17","2.19","3.03","42.01","2.07","2.5","45.34","24.57","27.72","46.99","15.02","16.63","47.46","1.82","2.53","41.84","12.14","84.76","8.84","9.77","47.51","6.67","7.66","46.55","1.14","1.48","43.53","17.13","80.65","15.73","17.95","46.70","8.34","8.96","48.21","0.68","1.05","39.29","8.15","88.28","24.51","28.77","46.00","12.48","15.39","44.79","0.37","0.49","42.86","2.97","96.79","7.75","90.82","0.986"
"9","Colorado Avalanche","40","47.9692","31","5","4","29","66","0.825","64.85","52.38","55.32","47.03","39.18","54.55","36.02","29.43","55.04","3.41","2.06","62.29","2.74","2.15","56.02","32.49","23.26","58.27","19.42","14.48","57.29","2.88","1.59","64.34","14.81","88.98","12.45","10.26","54.82","9.13","7.38","55.30","1.81","1.06","63.04","19.86","85.59","20.04","13.01","60.64","10.29","7.1","59.17","1.06","0.53","66.67","10.33","92.51","28.42","24.36","53.85","15.17","13.54","52.83","0.53","0.47","53.13","3.51","96.54","9.46","92.99","1.024"
"10","Dallas Stars","40","48.9533","26","10","4","24","56","0.700","56.44","54.73","50.77","41.79","39.77","51.24","29.51","28.4","50.95","2.57","2.3","52.83","2.59","2.19","54.19","29.42","24.73","54.33","17.04","15.08","53.05","2.42","1.81","57.25","14.21","88.01","13.27","9.74","57.66","9.25","7.2","56.24","1.96","1.1","64.00","21.19","84.68","16.15","14.98","51.87","7.78","7.87","49.71","0.46","0.7","39.47","5.91","91.05","21.88","24.15","47.54","10.48","11.64","47.37","0.15","0.49","23.81","1.46","95.79","8.72","91.91","1.006"
"11","Detroit Red Wings","40","48.8133","18","16","6","17","42","0.525","49.44","57.34","46.30","37.61","43.39","46.43","29.38","32.54","47.44","2.61","3.1","45.70","2.39","2.61","47.77","25.47","30.18","45.78","15.95","18.01","46.97","2.24","2.61","46.20","14.07","85.49","11.12","12.57","46.95","8.6","9.03","48.78","1.29","1.63","44.21","15.00","81.97","14.35","17.61","44.90","7.34","8.97","45.01","0.95","0.98","49.21","12.97","89.04","20.07","23.82","45.73","11.65","13.46","46.39","0.37","0.43","46.15","3.17","96.80","8.89","90.46","0.994"
"12","Edmonton Oilers","40","48.5858","27","12","1","23","55","0.688","61.35","55.48","52.51","45.32","42.82","51.42","33.53","31.95","51.20","2.96","2.69","52.46","2.88","2.65","52.05","30.5","28.37","51.81","17.94","17.26","50.96","2.62","2.22","54.14","14.63","87.12","13.31","11.02","54.70","9.57","7.9","54.77","1.85","1.08","63.16","19.35","86.33","17.2","17.35","49.78","8.37","9.35","47.21","0.77","1.14","40.32","9.23","87.79","26.64","23.59","53.04","14.23","13.21","51.86","0.34","0.43","44.00","2.39","96.73","8.84","91.59","1.004"
"13","Florida Panthers","40","48.3458","33","7","0","32","66","0.825","69.5","50.7","57.82","51.81","38.47","57.39","40.21","30.59","56.79","3.75","2.58","59.31","3.5","2.65","56.90","37.39","27.15","57.93","24.57","18.4","57.18","3.23","2.14","60.12","13.13","88.36","16.16","12.53","56.32","12.81","9.93","56.34","2.33","1.3","64.10","18.16","86.88","21.22","14.61","59.22","11.76","8.47","58.13","0.9","0.84","51.79","7.65","90.11","27.4","19.76","58.09","13.87","10.39","57.16","0.47","0.43","51.72","3.36","95.82","9.34","91.58","1.009"
"14","Los Angeles Kings","40","47.9867","20","16","4","17","44","0.550","62.74","49.83","55.73","47.79","37.29","56.17","33.76","27.38","55.21","2.25","2.34","48.98","3.13","2.57","54.92","33.82","26.23","56.32","19.38","15.22","56.01","2","2.13","48.48","10.32","86.04","15.16","11.78","56.26","10.53","8.85","54.35","1.56","1.41","52.63","14.84","84.10","18.66","14.44","56.37","8.85","6.38","58.11","0.44","0.72","37.84","4.95","88.73","25.26","20.04","55.76","13.44","10.85","55.34","0.25","0.19","57.14","1.86","98.27","6.67","91.44","0.981"
"15","Minnesota Wild","40","46.8008","30","8","2","28","62","0.775","57.66","53.01","52.10","44.17","40.29","52.30","32.63","29.58","52.45","3.65","2.31","61.29","2.5","1.93","56.44","27.56","21.92","55.70","17.53","14.07","55.48","2.88","1.86","60.81","16.45","86.79","11.51","8.14","58.56","8.75","6.09","58.96","1.67","1.31","55.91","19.05","78.42","16.06","13.78","53.81","8.78","7.98","52.39","1.22","0.54","69.09","13.87","93.17","25.83","26.19","49.66","13.81","14.01","49.65","0.77","0.45","63.16","5.57","96.80","11.20","92.20","1.034"
"16","Montreal Canadiens","40","48.935","11","25","4","10","26","0.325","55.67","56.55","49.60","40.31","41.75","49.12","30.01","32.19","48.25","2.21","2.91","43.11","2.43","2.67","47.66","27.53","28.81","48.86","15.17","17.2","46.88","1.87","2.48","42.96","12.32","85.56","11.43","12.29","48.19","7.85","8.89","46.89","1.1","1.84","37.50","14.06","79.31","16.09","16.52","49.34","7.33","8.31","46.86","0.77","0.64","54.35","10.46","92.25","23.3","22.71","50.63","13.24","13.33","49.83","0.34","0.43","44.00","2.55","96.78","7.35","90.95","0.983"
"17","New Jersey Devils","40","49.6288","15","20","5","13","35","0.438","57.76","54.83","51.30","44.52","42.19","51.34","30.71","30.35","50.30","2.45","3.08","44.26","2.71","2.46","52.36","31.74","27.78","53.33","18.04","16.47","52.28","2.15","2.54","45.81","11.89","84.59","12.15","8.8","58.01","8.52","6.77","55.73","1.39","1.51","47.92","16.31","77.68","19.59","18.98","50.78","9.52","9.7","49.53","0.76","1.03","42.37","7.94","89.41","23.54","23.82","49.71","11.7","12.48","48.38","0.3","0.54","35.71","2.58","95.64","7.97","89.84","0.978"
"18","Nashville Predators","40","46.5721","25","13","2","22","52","0.650","55.91","51.21","52.19","43.22","39.62","52.18","30.18","28.96","51.03","2.38","2","54.41","2.25","2.09","51.78","26.06","24.16","51.89","16.17","15.56","50.96","2.19","1.64","57.14","13.55","89.44","9.47","7.67","55.26","6.99","6.35","52.42","1.26","0.87","59.09","17.97","86.29","16.59","16.49","50.15","9.18","9.21","49.91","0.93","0.77","54.72","10.18","91.61","26.57","24.35","52.18","12.72","12.59","50.25","0.19","0.35","35.29","1.52","97.19","7.90","93.10","1.010"
"19","New York Islanders","40","49.3792","20","15","5","19","45","0.563","49.97","55.41","47.42","36.67","41.53","46.89","26.88","31.17","46.31","2.19","2.13","50.70","2.42","2.68","47.40","28.49","31.5","47.49","16.07","19.05","45.76","1.7","1.82","48.28","10.59","90.43","11.36","11.97","48.70","8.51","9.36","47.62","1.03","1.34","43.59","12.14","85.71","17.13","19.53","46.73","7.56","9.69","43.84","0.67","0.49","57.89","8.84","94.98","18.65","21.84","46.06","9.48","11.21","45.81","0.39","0.3","56.52","4.17","97.29","8.14","93.18","1.013"
"20","New York Rangers","40","49.5379","27","10","3","24","57","0.713","52.17","55.35","48.52","40","40.85","49.48","29.4","29.73","49.72","2.54","2.09","54.90","2.47","2.41","50.58","26.13","27.89","48.37","15.11","15.72","49.02","2.15","1.76","55.04","14.23","88.82","12.26","11.6","51.40","8.75","8.45","50.88","1.6","1.3","55.21","18.34","84.59","13.87","16.29","45.98","6.36","7.27","46.67","0.55","0.45","54.55","8.57","93.75","22.71","23.44","49.21","12.87","12.35","51.02","0.39","0.33","54.17","3.06","97.30","8.65","92.97","1.016"
"21","Ottawa Senators","40","48.6304","14","22","4","14","32","0.400","56.29","58.57","49.01","42.07","44.32","48.70","29.58","33","47.26","2.16","2.84","43.21","2.3","2.69","46.11","26.59","28.81","48.00","14.81","17.89","45.28","1.73","2.53","40.58","11.67","85.86","10.33","11.01","48.41","6.79","8.11","45.55","1.14","1.39","45.12","16.82","82.89","16.26","17.8","47.74","8.02","9.78","45.06","0.59","1.14","33.93","7.31","88.33","26.16","25.45","50.69","13.48","13.48","50.00","0.43","0.31","58.33","3.20","97.71","7.30","91.40","0.987"
"22","Philadelphia Flyers","40","48.97","14","21","5","14","33","0.413","55.75","59.3","48.46","41.57","43.92","48.62","31.27","32.68","48.90","2.48","2.82","46.82","2.5","2.57","49.23","25.27","26.89","48.44","15.22","16.94","47.33","2.05","2.36","46.53","13.48","86.08","10.69","10.72","49.93","7.99","8.3","49.06","1.44","1.56","47.96","18.01","81.18","14.58","16.17","47.41","7.23","8.64","45.56","0.61","0.8","43.48","8.47","90.78","25.52","28.12","47.57","13.81","14.03","49.61","0.43","0.46","48.28","3.10","96.72","7.93","91.38","0.993"
