"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","29","48.7994","8","16","5","6","21","0.362","50.66","65","43.80","37.78","50.54","42.77","28.79","37.56","43.39","2.08","3.43","37.69","2.3","3.32","40.97","24.89","34.81","41.69","14.16","21.03","40.24","1.74","2.88","37.61","12.28","86.29","10.51","15.86","39.87","7.5","11.4","39.69","1.06","1.99","34.72","14.12","82.53","14.37","18.95","43.13","6.66","9.62","40.89","0.68","0.89","43.24","10.19","90.75","20.56","25.99","44.17","11.91","15.14","44.04","0.34","0.55","38.10","2.85","96.36","7.22","90.86","0.981"
"2","Arizona Coyotes","30","46.7083","6","20","4","6","16","0.267","45.22","58.7","43.51","34.13","44.02","43.67","24.62","31.86","43.59","1.8","2.87","38.53","2.05","2.87","41.62","22.69","31.34","42.00","13.15","18.11","42.05","1.58","2.61","37.76","12.05","85.58","8.82","13.83","38.94","6.17","9.72","38.81","0.86","1.8","32.26","13.89","81.50","13.87","17.51","44.20","6.98","8.39","45.40","0.73","0.81","47.22","10.43","90.31","18.84","23.21","44.81","10.36","12.25","45.83","0.21","0.26","45.45","2.07","97.90","7.30","90.99","0.983"
"3","Boston Bruins","25","47.9613","17","6","2","17","36","0.720","55.69","58.5","48.77","42.43","42.03","50.24","32.13","30.62","51.20","3.25","2.05","61.32","2.61","2.63","49.83","28.92","29.07","49.87","17.96","15.91","53.03","2.85","1.8","61.29","15.88","88.68","11.96","12.51","48.88","8.81","9.01","49.44","1.85","1.05","63.79","21.02","88.33","16.96","16.56","50.60","9.16","6.91","57.01","1","0.75","57.14","10.93","89.13","23.22","24.32","48.84","12.81","12.61","50.39","0.4","0.25","61.54","3.13","98.02","10.12","93.30","1.034"
"4","Buffalo Sabres","24","48.0646","15","7","2","14","32","0.667","53.42","53.99","49.73","39.84","41.71","48.85","28.3","30.58","48.06","2.81","2.44","53.47","2.48","2.8","47.05","28.66","30.22","48.67","16.44","18.67","46.81","2.5","2.13","53.93","15.19","88.58","10.71","12.85","45.47","7.49","9.52","44.04","1.46","1.35","51.85","19.44","85.79","17.94","17.37","50.81","8.95","9.15","49.43","1.04","0.78","57.14","11.63","91.48","20.55","19.82","50.90","9.67","10.77","47.33","0.31","0.31","50.00","3.23","97.10","9.93","92.01","1.019"
"5","Carolina Hurricanes","27","47.2302","17","4","6","15","40","0.741","65.26","43.52","59.99","47.38","32.56","59.27","33.03","24.75","57.17","2.54","1.69","60.00","2.91","1.97","59.67","30.91","22.21","58.19","17.64","13.83","56.05","2.21","1.32","62.67","12.53","90.48","13.13","10.16","56.36","9.6","7.39","56.51","1.6","0.8","66.67","16.67","89.17","17.79","12.05","59.62","8.05","6.45","55.52","0.61","0.52","54.17","7.60","91.97","28.56","16.56","63.30","14.21","8.94","61.38","0.33","0.38","46.67","2.32","95.79","7.69","93.16","1.008"
"6","Columbus Blue Jackets","23","48.621","4","17","2","4","10","0.217","53.01","66.15","44.48","37.99","48.99","43.68","27.26","34.55","44.10","1.82","2.95","38.20","2.4","3.06","43.98","26.93","34.12","44.11","15.34","18.51","45.32","1.34","2.63","33.78","8.74","85.80","10.57","13.95","43.11","7.4","9.5","43.81","0.8","1.39","36.59","10.87","85.31","16.36","20.17","44.79","7.94","9.01","46.84","0.54","1.23","30.30","6.76","86.31","21.62","26.88","44.58","10.62","14.54","42.22","0.48","0.32","60.00","4.55","97.79","6.69","91.46","0.982"
"7","Calgary Flames","27","47.4796","10","9","8","9","28","0.519","63.33","52.37","54.73","48.44","38.89","55.47","34.78","26.68","56.59","2.57","2.53","50.46","2.74","2.51","52.12","28.27","27.1","51.06","16.29","15.35","51.48","2.15","2.25","48.94","13.22","85.37","10.58","11.65","47.58","7.49","7.86","48.78","1.4","1.45","49.18","18.75","81.55","17.69","15.45","53.39","8.8","7.49","54.02","0.75","0.8","48.48","8.51","89.38","28.88","20.83","58.10","15.49","9.83","61.18","0.42","0.28","60.00","2.72","97.14","7.40","90.53","0.979"
"8","Chicago Blackhawks","21","49.4294","6","13","2","6","14","0.333","43.76","67.74","39.24","31.91","49.54","39.18","23.24","36.3","39.03","1.68","2.49","40.28","1.93","3.26","37.18","21.56","36.7","37.00","12.72","20.64","38.13","1.56","2.02","43.55","12.27","90.20","8.15","14.57","35.88","5.84","10.06","36.73","0.87","1.33","39.47","14.85","86.78","13.41","22.14","37.72","6.88","10.58","39.40","0.69","0.69","50.00","10.08","93.44","18.27","26.53","40.77","8.9","14.05","38.79","0.12","0.46","20.00","1.30","96.71","7.21","93.15","1.004"
"9","Colorado Avalanche","25","47.0453","14","10","1","11","29","0.580","59.02","57.14","50.81","43.36","43.21","50.09","32.14","32.45","49.76","1.79","2.04","46.67","2.73","2.6","51.19","29.08","26.63","52.20","17.65","15.87","52.66","1.58","1.68","48.44","8.96","89.39","12.14","11.99","50.32","9.08","8.62","51.30","1.02","1.33","43.48","11.24","84.62","16.94","14.64","53.63","8.57","7.24","54.19","0.56","0.36","61.11","6.55","95.07","25.3","25.56","49.75","12.91","14.54","47.03","0.2","0.36","36.36","1.58","97.54","5.56","93.71","0.993"
"10","Dallas Stars","27","47.8833","15","8","4","14","34","0.630","57.59","58.48","49.62","41.26","43.3","48.79","30.03","31.28","48.98","2.51","1.72","59.34","2.7","2.58","51.11","29.89","28.45","51.23","16.99","16.15","51.26","2.18","1.44","60.26","12.84","91.09","12.67","12.81","49.73","8.54","8.96","48.81","1.53","1.07","58.93","17.93","88.08","17.22","15.64","52.40","8.45","7.19","54.01","0.65","0.37","63.64","7.69","94.84","23.2","24.83","48.31","11.56","13.88","45.44","0.32","0.28","53.85","2.81","97.99","8.35","94.51","1.029"
