"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","23","47.8152","9","13","1","8","19","0.413","53.3","67.6","44.09","39.61","52.05","43.21","27.66","38.19","42.00","1.85","3.38","35.42","2.3","3.56","39.28","25.81","35.24","42.27","14.46","22.15","39.49","1.58","2.78","36.25","10.94","87.44","10.91","16.75","39.45","7.53","13.09","36.51","0.87","2.13","29.09","11.59","83.75","14.89","18.5","44.61","6.93","9.06","43.34","0.71","0.65","52.00","10.24","92.77","21.88","26.95","44.80","10.58","14.29","42.54","0.27","0.6","31.25","2.58","95.80","6.71","91.14","0.978"
"2","Arizona Coyotes","21","47.2214","11","8","2","9","24","0.571","51.55","61.47","45.61","38","46.95","44.73","26.44","34.37","43.48","2.66","2.54","51.16","2.35","2.82","45.52","26.99","30.98","46.56","15.01","18.88","44.29","2.42","2.12","53.33","16.13","88.78","11.74","12.89","47.67","7.62","9.44","44.68","1.51","1.57","49.02","19.84","83.33","15.25","18.09","45.74","7.38","9.44","43.88","0.91","0.54","62.50","12.30","94.23","20.15","25.59","44.05","10.16","13.98","42.11","0.24","0.42","36.36","2.38","96.97","10.07","92.61","1.027"
"3","Boston Bruins","26","46.4141","22","1","3","20","47","0.904","58.57","50.61","53.64","44","37.19","54.19","32.27","26.8","54.63","2.83","1.44","66.28","2.85","2.08","57.81","32.72","25.9","55.81","18.64","13.92","57.25","2.29","1.14","66.67","12.27","91.79","14.37","9.5","60.21","10.34","6.56","61.18","1.44","0.75","65.91","13.94","88.64","18.35","16.41","52.79","8.3","7.36","53.02","0.85","0.4","68.00","10.18","94.59","23.42","21.58","52.04","12.18","11.04","52.46","0.55","0.3","64.71","4.49","97.30","8.78","94.62","1.034"
"4","Buffalo Sabres","26","47.9026","11","13","2","11","24","0.462","60.65","51.02","54.31","46.06","40.51","53.20","34.16","31.46","52.06","2.94","2.99","49.59","2.87","2.53","53.14","31.36","27.27","53.49","18.16","17.44","51.01","2.41","2.46","49.50","13.26","85.91","12.38","12","50.79","8.43","9.06","48.21","1.54","1.73","47.06","18.29","80.85","18.98","15.27","55.41","9.73","8.38","53.72","0.87","0.72","54.55","8.91","91.38","25.58","20.47","55.54","14.16","12.48","53.16","0.53","0.53","50.00","3.74","95.75","8.60","90.51","0.991"
"5","Carolina Hurricanes","24","46.9986","17","5","2","16","36","0.750","68.09","46.28","59.53","51.97","35.59","59.36","35","24.58","58.75","2.82","2.34","54.64","3.33","2.22","60.00","34.47","21.81","61.25","19.2","13.03","59.57","2.45","2.13","53.49","12.74","83.67","16.12","10.53","60.48","10.64","6.97","60.42","1.44","1.33","51.92","13.50","80.92","18.35","11.28","61.94","8.56","6.06","58.55","1.01","0.8","55.88","11.80","86.84","27.87","19.15","59.28","14.68","9.26","61.33","0.37","0.21","63.64","2.54","97.70","8.05","90.48","0.985"
"6","Columbus Blue Jackets","29","48.9167","11","16","2","10","24","0.414","53.12","61.62","46.30","39.29","45","46.61","27.75","33.84","45.05","2.28","3.51","39.42","2.21","2.65","45.47","24.15","28.3","46.05","14.34","17.05","45.69","1.82","2.88","38.74","12.68","83.13","8.67","11.63","42.71","6.13","8.33","42.40","0.89","1.99","30.88","14.48","76.14","15.48","16.66","48.16","8.21","8.71","48.50","0.93","0.89","51.16","11.34","89.81","24.07","28.51","45.78","12.01","15.14","44.24","0.47","0.63","42.31","3.87","95.81","8.23","89.63","0.979"
"7","Calgary Flames","25","46.6573","14","9","2","14","30","0.600","65.38","48.35","57.49","48.15","36.98","56.56","34.77","25.98","57.24","2.88","2.52","53.33","2.93","2.27","56.37","30.97","25.67","54.68","19.03","15.53","55.06","2.47","2.26","52.17","12.97","85.43","12.55","9.88","55.96","9.21","7.1","56.47","1.59","1.23","56.36","17.32","82.61","18.42","15.79","53.83","9.82","8.44","53.80","0.87","1.03","45.95","8.90","87.80","28.5","18.57","60.55","13.63","8.64","61.20","0.41","0.26","61.54","3.02","97.02","8.28","90.30","0.986"
"8","Chicago Blackhawks","28","48.8482","9","16","3","9","21","0.375","47.9","57.82","45.31","35.4","43.78","44.71","25.22","31.37","44.57","2.06","3.55","36.72","2.07","2.7","43.34","21.98","29.22","42.93","12.55","16.63","43.01","1.75","3.03","36.70","13.99","81.79","9.21","11.89","43.66","6.27","8.69","41.94","1.18","1.97","37.50","18.88","77.27","12.77","17.33","42.42","6.27","7.94","44.14","0.57","1.05","35.14","9.09","86.74","21.71","24.39","47.10","11.76","13.34","46.85","0.31","0.53","36.84","2.61","96.05","8.17","88.67","0.968"
"9","Colorado Avalanche","25","48.2467","13","9","3","12","29","0.580","61.04","52.83","53.60","42.88","39.85","51.83","31.79","30.15","51.33","2.44","2.14","53.26","2.44","2.3","51.51","28.11","23.93","54.02","15.87","14.92","51.53","2.04","1.74","53.95","12.85","88.33","10.84","10.89","49.89","7.46","7.56","49.67","1.34","1.19","52.94","18.00","84.21","17.26","13.03","56.98","8.41","7.36","53.31","0.7","0.55","56.00","8.28","92.57","28.55","23.53","54.82","15.02","13.58","52.52","0.4","0.4","50.00","2.65","97.07","7.67","92.90","1.006"
"10","Dallas Stars","26","47.5891","15","5","6","14","36","0.692","61.25","55.77","52.34","43.89","41.36","51.48","31.33","28.71","52.18","2.81","2.33","54.72","2.79","2.54","52.30","30.74","25.12","55.03","18.33","14.55","55.75","2.38","2.04","53.85","12.96","86.00","13","10.52","55.26","9.21","7.32","55.72","1.5","1.12","57.41","16.32","84.77","17.75","14.6","54.87","9.12","7.23","55.79","0.87","0.92","48.65","9.57","87.25","23.71","24.44","49.24","11.54","12.56","47.89","0.44","0.29","60.00","3.78","97.68","8.98","91.89","1.009"
