Date,Away,AwayG,Home,HomeG
2019-10-02,Vancouver Canucks,2,Edmonton Oilers,3
2019-10-02,Washington Capitals,3,St Louis Blues,2
2019-10-02,Ottawa Senators,3,Toronto Maple Leafs,5
2019-10-02,San Jose Sharks,1,Vegas Golden Knights,4
2019-10-03,Arizona Coyotes,1,Anaheim Ducks,2
2019-10-03,Montreal Canadiens,3,Carolina Hurricanes,4
2019-10-03,Calgary Flames,3,Colorado Avalanche,5
2019-10-03,Boston Bruins,2,Dallas Stars,1
2019-10-03,Minnesota Wild,2,Nashville Predators,5
2019-10-03,Winnipeg Jets,4,New York Rangers,6
2019-10-03,Buffalo Sabres,3,Pittsburgh Penguins,1
2019-10-03,Florida Panthers,2,Tampa Bay Lightning,5
2019-10-04,Toronto Maple Leafs,4,Columbus Blue Jackets,1
2019-10-04,Winnipeg Jets,5,New Jersey Devils,4
2019-10-04,Washington Capitals,2,New York Islanders,1
2019-10-04,Chicago Blackhawks,3,Philadelphia Flyers,4
2019-10-04,Vegas Golden Knights,5,San Jose Sharks,1
2019-10-05,San Jose Sharks,1,Anaheim Ducks,3
2019-10-05,Boston Bruins,1,Arizona Coyotes,0
2019-10-05,New Jersey Devils,2,Buffalo Sabres,7
2019-10-05,Vancouver Canucks,0,Calgary Flames,3
2019-10-05,Minnesota Wild,2,Colorado Avalanche,4
2019-10-05,Los Angeles Kings,5,Edmonton Oilers,6
2019-10-05,Tampa Bay Lightning,3,Florida Panthers,4
2019-10-05,Detroit Red Wings,5,Nashville Predators,3
2019-10-05,New York Rangers,4,Ottawa Senators,1
2019-10-05,Columbus Blue Jackets,2,Pittsburgh Penguins,7
2019-10-05,Dallas Stars,2,St Louis Blues,3
2019-10-05,Montreal Canadiens,6,Toronto Maple Leafs,5
2019-10-05,Carolina Hurricanes,3,Washington Capitals,2
2019-10-06,Tampa Bay Lightning,3,Carolina Hurricanes,4
2019-10-06,Dallas Stars,3,Detroit Red Wings,4
2019-10-06,Winnipeg Jets,1,New York Islanders,4
2019-10-07,Buffalo Sabres,3,Columbus Blue Jackets,4
2019-10-07,St Louis Blues,3,Toronto Maple Leafs,2
2019-10-08,Los Angeles Kings,4,Calgary Flames,3
2019-10-08,Anaheim Ducks,3,Detroit Red Wings,1
2019-10-08,Carolina Hurricanes,6,Florida Panthers,3
2019-10-08,San Jose Sharks,2,Nashville Predators,5
2019-10-08,Edmonton Oilers,5,New York Islanders,2
2019-10-08,Winnipeg Jets,4,Pittsburgh Penguins,1
2019-10-08,Boston Bruins,4,Vegas Golden Knights,3
2019-10-08,Dallas Stars,4,Washington Capitals,3
2019-10-09,Montreal Canadiens,4,Buffalo Sabres,5
2019-10-09,New Jersey Devils,0,Philadelphia Flyers,4
2019-10-09,Los Angeles Kings,2,Vancouver Canucks,8
2019-10-10,Vegas Golden Knights,1,Arizona Coyotes,4
2019-10-10,San Jose Sharks,5,Chicago Blackhawks,4
2019-10-10,Boston Bruins,2,Colorado Avalanche,4
2019-10-10,Calgary Flames,3,Dallas Stars,2
2019-10-10,Detroit Red Wings,4,Montreal Canadiens,2
2019-10-10,Edmonton Oilers,4,New Jersey Devils,3
2019-10-10,Washington Capitals,5,Nashville Predators,6
2019-10-10,St Louis Blues,6,Ottawa Senators,4
2019-10-10,Anaheim Ducks,1,Pittsburgh Penguins,2
2019-10-10,Tampa Bay Lightning,7,Toronto Maple Leafs,3
2019-10-10,Minnesota Wild,2,Winnipeg Jets,5
2019-10-11,Florida Panthers,2,Buffalo Sabres,3
2019-10-11,New York Islanders,2,Carolina Hurricanes,5
2019-10-11,Anaheim Ducks,2,Columbus Blue Jackets,1
2019-10-12,New Jersey Devils,0,Boston Bruins,3
2019-10-12,Columbus Blue Jackets,3,Carolina Hurricanes,2
2019-10-12,Winnipeg Jets,3,Chicago Blackhawks,2
2019-10-12,Arizona Coyotes,2,Colorado Avalanche,3
2019-10-12,Washington Capitals,4,Dallas Stars,1
2019-10-12,Toronto Maple Leafs,5,Detroit Red Wings,2
2019-10-12,Nashville Predators,4,Los Angeles Kings,7
2019-10-12,Pittsburgh Penguins,7,Minnesota Wild,4
2019-10-12,St Louis Blues,3,Montreal Canadiens,6
2019-10-12,Florida Panthers,2,New York Islanders,3
2019-10-12,Edmonton Oilers,4,New York Rangers,1
2019-10-12,Tampa Bay Lightning,2,Ottawa Senators,4
2019-10-12,Philadelphia Flyers,2,Vancouver Canucks,3
2019-10-12,Calgary Flames,2,Vegas Golden Knights,6
2019-10-13,Vegas Golden Knights,5,Los Angeles Kings,2
2019-10-13,Calgary Flames,1,San Jose Sharks,3
2019-10-13,Pittsburgh Penguins,7,Winnipeg Jets,2
2019-10-14,Anaheim Ducks,2,Boston Bruins,4
2019-10-14,Dallas Stars,0,Buffalo Sabres,4
2019-10-14,Edmonton Oilers,1,Chicago Blackhawks,3
2019-10-14,Florida Panthers,6,New Jersey Devils,4
2019-10-14,St Louis Blues,2,New York Islanders,3
