,Edge,Min Odds Away,Min Odds Home,Max Odds Away,Max Odds Home,Profit,Percentage
0,4.0,-1000.0,-1000.0,1000.0,1000.0,-455.79999999999995,0.34
1,4.0,-1000.0,-1000.0,1000.0,600.0,-455.79999999999995,0.34
2,4.0,-1000.0,-1000.0,1000.0,500.0,-455.79999999999995,0.34
3,4.0,-1000.0,-1000.0,1000.0,400.0,-455.79999999999995,0.34
4,4.0,-1000.0,-1000.0,1000.0,300.0,-499.8,0.34
5,4.0,-1000.0,-1000.0,1000.0,200.0,-466.79999999999995,0.34
6,4.0,-1000.0,-1000.0,1000.0,150.0,-94.79999999999995,0.36
7,4.0,-1000.0,-1000.0,1000.0,125.0,7.2000000000000455,0.36
8,4.0,-1000.0,-1000.0,1000.0,0.0,64.20000000000005,0.36
9,4.0,-1000.0,-1000.0,600.0,1000.0,-716.8,0.33
10,4.0,-1000.0,-1000.0,600.0,600.0,-716.8,0.33
11,4.0,-1000.0,-1000.0,600.0,500.0,-716.8,0.33
12,4.0,-1000.0,-1000.0,600.0,400.0,-716.8,0.33
13,4.0,-1000.0,-1000.0,600.0,300.0,-760.8,0.33
14,4.0,-1000.0,-1000.0,600.0,200.0,-727.8,0.34
15,4.0,-1000.0,-1000.0,600.0,150.0,-355.79999999999995,0.35
16,4.0,-1000.0,-1000.0,600.0,125.0,-253.79999999999995,0.35
17,4.0,-1000.0,-1000.0,600.0,0.0,-196.79999999999995,0.35
18,4.0,-1000.0,-1000.0,500.0,1000.0,-716.8,0.33
19,4.0,-1000.0,-1000.0,500.0,600.0,-716.8,0.33
20,4.0,-1000.0,-1000.0,500.0,500.0,-716.8,0.33
21,4.0,-1000.0,-1000.0,500.0,400.0,-716.8,0.33
22,4.0,-1000.0,-1000.0,500.0,300.0,-760.8,0.33
23,4.0,-1000.0,-1000.0,500.0,200.0,-727.8,0.34
24,4.0,-1000.0,-1000.0,500.0,150.0,-355.79999999999995,0.35
25,4.0,-1000.0,-1000.0,500.0,125.0,-253.79999999999995,0.35
26,4.0,-1000.0,-1000.0,500.0,0.0,-196.79999999999995,0.35
27,4.0,-1000.0,-1000.0,400.0,1000.0,-812.8,0.33
28,4.0,-1000.0,-1000.0,400.0,600.0,-812.8,0.33
29,4.0,-1000.0,-1000.0,400.0,500.0,-812.8,0.33
30,4.0,-1000.0,-1000.0,400.0,400.0,-812.8,0.33
31,4.0,-1000.0,-1000.0,400.0,300.0,-856.8,0.33
32,4.0,-1000.0,-1000.0,400.0,200.0,-823.8,0.34
33,4.0,-1000.0,-1000.0,400.0,150.0,-451.79999999999995,0.35
34,4.0,-1000.0,-1000.0,400.0,125.0,-349.79999999999995,0.35
35,4.0,-1000.0,-1000.0,400.0,0.0,-292.79999999999995,0.35
36,4.0,-1000.0,-1000.0,300.0,1000.0,-762.8,0.34
37,4.0,-1000.0,-1000.0,300.0,600.0,-762.8,0.34
38,4.0,-1000.0,-1000.0,300.0,500.0,-762.8,0.34
39,4.0,-1000.0,-1000.0,300.0,400.0,-762.8,0.34
40,4.0,-1000.0,-1000.0,300.0,300.0,-806.8,0.34
41,4.0,-1000.0,-1000.0,300.0,200.0,-773.8,0.34
42,4.0,-1000.0,-1000.0,300.0,150.0,-401.79999999999995,0.36
43,4.0,-1000.0,-1000.0,300.0,125.0,-299.79999999999995,0.36
44,4.0,-1000.0,-1000.0,300.0,0.0,-242.79999999999995,0.36
45,4.0,-1000.0,-1000.0,200.0,1000.0,-658.8,0.36
46,4.0,-1000.0,-1000.0,200.0,600.0,-658.8,0.36
47,4.0,-1000.0,-1000.0,200.0,500.0,-658.8,0.36
48,4.0,-1000.0,-1000.0,200.0,400.0,-658.8,0.36
49,4.0,-1000.0,-1000.0,200.0,300.0,-702.8,0.36
