"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"14","Anaheim Ducks","28","49.9452","11","12","5","10","27","0.482","49.73","53.03","48.39","35.57","40.24","46.92","25.66","29.13","46.83","2.45","2.15","53.27","1.96","2.29","46.14","23.13","25.61","47.45","13.56","15.4","46.81","2.1","1.84","53.26","15.51","88.02","8.45","10.38","44.87","6.22","7.47","45.45","1.29","1.37","48.39","20.69","81.61","14.67","15.23","49.07","7.34","7.94","48.03","0.82","0.47","63.33","11.11","94.05","21.37","23.43","47.70","10.08","12.74","44.17","0.34","0.3","53.33","3.40","97.64","9.53","92.64","1.022"
"19","Arizona Coyotes","28","47.4923","12","14","2","11","26","0.464","50.72","55.14","47.91","37.99","41.51","47.79","26.98","30.91","46.61","2.21","2.84","43.75","2.21","2.47","47.27","22.29","28.74","43.68","14.12","17.87","44.15","1.99","2.44","44.90","14.06","86.36","8.98","11.42","44.03","6.72","8.44","44.35","1.13","1.67","40.32","16.78","80.21","13.31","17.33","43.45","7.4","9.43","43.97","0.86","0.77","52.78","11.59","91.87","24.5","22.92","51.67","11.73","11.69","50.10","0.23","0.41","35.71","1.92","96.53","8.19","90.80","0.990"
"7","Boston Bruins","28","48.3893","15","9","4","14","34","0.607","59.56","51.63","53.56","46.14","38.39","54.58","34.1","27.5","55.36","1.99","1.9","51.14","2.36","2.13","52.57","24.89","24.62","50.27","16.16","13.95","53.68","1.59","1.42","52.94","9.86","89.84","8.9","9.96","47.18","6.86","7.44","47.99","0.89","1.02","46.51","12.90","86.31","15.99","14.66","52.17","9.3","6.51","58.82","0.71","0.4","64.00","7.62","93.88","30.07","23.07","56.58","15.94","11.91","57.23","0.35","0.49","42.11","2.22","95.91","5.84","93.08","0.989"
"17","Buffalo Sabres","28","50.8964","7","18","3","6","17","0.304","49.22","53.81","47.77","38.57","42.52","47.56","27.83","30.9","47.38","2.11","2.91","42.02","2.16","2.42","47.24","22.99","27.03","45.96","13.89","16.97","45.02","1.6","2.44","39.58","11.52","85.61","9.68","10.44","48.12","7.28","8.13","47.27","1.14","1.77","39.13","15.61","78.24","13.3","16.59","44.51","6.61","8.84","42.78","0.46","0.67","40.74","7.01","92.38","22.9","24.12","48.70","12.76","12.63","50.25","0.51","0.46","52.17","3.96","96.33","7.56","90.60","0.982"
"12","Calgary Flames","28","46.9762","11","15","2","10","24","0.429","55.97","55.33","50.29","40.51","41.37","49.47","29.51","30.43","49.24","2.1","2.28","47.92","2.24","2.2","50.39","25","25.73","49.28","14.41","15.01","48.99","1.6","2.01","44.30","11.08","86.63","9.53","9.99","48.83","6.8","7.25","48.38","1","1.32","43.14","14.77","81.76","15.46","15.74","49.56","7.62","7.75","49.55","0.59","0.68","46.43","7.78","91.18","26.18","25.86","50.31","13.78","13.91","49.75","0.46","0.23","66.67","3.31","98.36","7.11","92.50","0.996"
"10","Carolina Hurricanes","28","48.2762","16","9","3","13","35","0.625","54.6","48.87","52.77","40.75","37.51","52.07","30.14","27.79","52.03","2.35","1.82","56.38","2.23","2.04","52.25","25.21","23.92","51.31","16.2","15.31","51.41","2.04","1.69","54.76","12.60","88.99","10.08","9.01","52.79","8.26","7.28","53.14","1.55","1.15","57.38","18.82","84.15","15.14","14.91","50.37","7.95","8.03","49.72","0.49","0.53","47.83","6.15","93.37","25.17","21.44","54.00","12.61","11.1","53.18","0.27","0.13","66.67","2.11","98.80","7.81","93.45","1.013"
"2","Chicago Blackhawks","28","47.7565","11","14","3","10","25","0.446","48.33","55.59","46.50","36.66","42.85","46.11","27.51","30.87","47.12","1.62","2.69","37.50","2.09","2.48","45.64","23.33","28.67","44.87","14.85","16.92","46.75","1.35","2.24","37.50","9.06","86.74","8.12","11.62","41.14","6.51","8.62","43.03","0.63","1.62","28.00","9.66","81.25","15.21","17.05","47.15","8.35","8.3","50.13","0.72","0.63","53.33","8.60","92.43","21.22","22.93","48.07","11.49","12.38","48.12","0.27","0.45","37.50","2.34","96.38","5.87","91.28","0.972"
"21","Colorado Avalanche","28","46.6083","17","9","2","17","36","0.643","63.26","46.67","57.55","45.98","35.59","56.37","31.22","25.52","55.02","2.71","2.34","53.64","2.66","2.06","56.45","31.03","22.8","57.64","16.87","13.93","54.78","2.39","2.11","53.06","14.17","84.82","11.31","9.61","54.07","7.82","7.26","51.83","1.43","0.97","59.62","18.24","86.71","19.72","13.2","59.92","9.06","6.67","57.60","0.97","1.15","45.65","10.66","82.76","28.28","19.86","58.74","13.29","10.25","56.45","0.32","0.23","58.33","2.42","97.76","8.69","90.81","0.995"
"11","Columbus Blue Jackets","28","50.9946","7","17","4","6","18","0.321","50.13","57.65","46.51","38.11","42.61","47.21","29.79","31.68","48.46","1.72","2.98","36.61","2.04","2.31","46.96","21.47","26.14","45.10","14.25","16.14","46.89","1.6","2.35","40.43","11.21","85.42","8.99","10","47.35","7.23","7.69","48.45","1.39","1.64","45.83","19.19","78.69","12.48","16.14","43.61","7.02","8.45","45.38","0.21","0.71","22.73","2.99","91.54","24.58","27.69","47.03","14.37","13.95","50.74","0.13","0.63","16.67","0.88","95.48","5.78","90.58","0.964"
"9","Dallas Stars","28","50.5208","10","12","6","9","26","0.464","52.76","49.03","51.83","39.62","37.54","51.35","30.5","27.23","52.83","1.91","2.33","45.00","2.17","1.98","52.37","24.98","21.59","53.64","15.74","13.53","53.77","1.82","1.65","52.44","11.59","87.77","9.54","8.48","52.94","7.25","6.62","52.29","1.19","1.06","52.83","16.37","83.97","15.44","13.11","54.09","8.48","6.91","55.10","0.64","0.59","51.72","7.50","91.41","24.73","23.37","51.41","13.45","12.22","52.40","0.08","0.68","11.11","0.63","94.44","6.26","91.43","0.977"
