"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"21","Anaheim Ducks","28","48.7923","6","18","4","5","16","0.286","53.58","55.25","49.23","40.01","41.72","48.95","26.92","30.08","47.23","1.89","3.16","37.39","2.27","2.68","45.87","24.81","28.72","46.35","14.89","18.49","44.61","1.67","3.03","35.51","11.21","83.61","10.67","12.3","46.46","7.73","9.44","45.01","1.19","2.11","36.00","15.34","77.67","14.14","16.43","46.26","7.16","9.05","44.17","0.48","0.92","34.38","6.75","89.81","24.64","24.07","50.59","10.58","10.89","49.28","0.22","0.13","62.50","2.07","98.79","7.01","89.49","0.965"
"13","Arizona Coyotes","28","48.2923","12","12","4","10","28","0.500","53.11","54.05","49.57","39.76","40.47","49.56","27.02","27.73","49.35","2.17","2.31","48.51","2.28","2.28","50.02","24.98","26.53","48.49","14.07","15.04","48.32","1.91","2.17","46.74","13.56","85.55","11.18","10.83","50.81","7.63","7.54","50.29","1.02","1.2","46.00","13.37","84.12","13.8","15.71","46.77","6.43","7.5","46.18","0.89","0.98","47.62","13.79","86.98","24.63","24.45","50.18","11.71","11.58","50.29","0.27","0.13","66.67","2.27","98.85","8.05","91.68","0.997"
"23","Boston Bruins","28","47.8583","18","7","3","15","39","0.696","55.25","45.36","54.92","44.06","35.06","55.69","32.01","24.49","56.66","2.78","2.24","55.36","2.14","1.79","54.42","25.43","21.22","54.51","16.34","12.76","56.15","2.33","1.97","54.17","14.25","84.56","8.78","7.39","54.29","7.12","5.78","55.21","1.43","1.3","52.46","20.13","77.52","16.66","13.84","54.63","9.22","6.98","56.91","0.9","0.67","57.14","9.71","90.38","27.18","21.94","55.33","13.93","10.25","57.59","0.45","0.27","62.50","3.22","97.38","8.67","90.86","0.995"
"6","Buffalo Sabres","28","49.5262","8","16","4","5","20","0.357","47.85","57.29","45.51","37.64","46.12","44.94","27.65","34.53","44.47","1.6","2.94","35.24","2.01","2.46","45.01","21.76","25.01","46.53","12.81","15.32","45.54","1.34","2.34","36.47","10.47","84.75","10.34","10.99","48.48","7.36","8.13","47.49","0.87","1.12","43.48","11.76","86.17","11.42","14.02","44.90","5.45","7.18","43.15","0.48","1.21","28.21","8.73","83.13","23.49","29.08","44.69","13.76","17.87","43.50","0.26","0.61","30.00","1.89","96.61","5.79","91.48","0.973"
"17","Calgary Flames","28","48.0768","15","12","1","15","31","0.554","55.22","43.23","56.09","43.46","34.36","55.84","29.6","24.96","54.25","2.94","2.41","55.00","2.47","1.87","56.92","28.04","20.64","57.60","17.69","13.51","56.71","2.72","2.18","55.45","15.37","83.83","10.92","7.58","59.04","8.33","6.15","57.54","1.47","1.34","52.38","17.65","78.26","17.12","13.06","56.72","9.36","7.35","56.00","1.25","0.85","59.57","13.33","88.48","24.2","19.61","55.24","10.79","10.21","51.38","0.22","0.22","50.00","2.07","97.82","9.94","90.36","1.003"
"24","Carolina Hurricanes","28","48.6","20","3","5","19","45","0.804","61.95","50.66","55.01","47.22","38.93","54.81","32.8","27.56","54.35","2.29","1.76","56.52","3.08","2.49","55.24","30.6","24.12","55.92","17.24","14.95","53.56","1.85","1.5","55.26","10.74","89.97","14.11","11.29","55.56","9.57","8.2","53.85","1.37","1.15","54.39","14.29","86.02","16.49","12.83","56.24","7.67","6.75","53.21","0.49","0.35","57.89","6.32","94.77","27.16","21.96","55.30","14.37","11.38","55.82","0.44","0.26","62.50","3.07","97.67","6.99","93.60","1.006"
"27","Chicago Blackhawks","28","48.9881","13","11","4","12","30","0.536","50.39","60.93","45.27","34.82","44.66","43.81","28.21","35.56","44.24","2.8","2.84","49.61","2.09","2.83","42.47","24.06","30.49","44.11","15.57","20.38","43.31","2.58","2.62","49.58","16.57","87.12","9.97","12.77","43.85","8.31","10.94","43.18","1.84","1.97","48.28","22.11","82.00","14.09","17.72","44.29","7.26","9.45","43.46","0.74","0.66","53.13","10.24","93.06","22.53","26.68","45.78","11.46","14","45.02","0.22","0.22","50.00","1.91","98.44","9.92","92.00","1.019"
"5","Colorado Avalanche","28","47.7923","22","4","2","22","46","0.821","65.24","42.77","60.40","47.44","30.94","60.53","35.78","22.46","61.43","3.23","1.66","66.06","2.71","1.55","63.67","30.89","17.8","63.44","19.5","11.21","63.50","2.65","1.43","64.84","13.56","87.20","12.15","6.9","63.76","9.24","5.47","62.80","1.57","0.94","62.50","16.99","82.79","18.74","10.9","63.24","10.27","5.74","64.15","1.08","0.49","68.57","10.48","91.41","30.62","20.98","59.34","15.65","10.09","60.80","0.58","0.22","72.22","3.72","97.78","9.02","92.61","1.016"
"25","Columbus Blue Jackets","28","50.3833","11","9","8","9","30","0.536","48.87","56.23","46.50","38.11","43.25","46.84","27.26","31.86","46.12","2.38","2.55","48.28","1.95","2.39","44.96","21.73","25.56","45.95","13.23","15.74","45.67","1.66","2.21","42.86","12.54","85.95","7.57","10.16","42.69","5.15","7.87","39.54","0.85","1.4","37.74","16.53","82.16","14.16","15.4","47.91","8.08","7.87","50.67","0.81","0.81","50.00","10.00","89.73","23.05","27.01","46.05","12.76","14.76","46.37","0.72","0.34","68.00","5.67","97.69","8.74","91.99","1.007"
"29","Dallas Stars","28","48.3065","13","7","8","12","34","0.607","56.2","48.17","53.85","40.59","34.82","53.82","28.21","23.02","55.06","2.48","1.69","59.57","2.27","1.79","55.91","26.48","21.51","55.18","15.13","12.07","55.63","2.31","1.42","61.90","15.25","88.24","11.22","8.07","58.16","7.94","5.63","58.50","1.69","1.15","59.38","21.23","79.53","15.26","13.44","53.17","7.19","6.43","52.77","0.62","0.27","70.00","8.64","95.86","24.26","21.25","53.31","11.05","9.54","53.66","0.18","0.27","40.00","1.61","97.21","8.81","92.68","1.015"
